國文,英文,數學,社會,自然
13,7,13,14,15
14,13,13,10,8
15,14,11,6,11
9,15,8,8,11
12,11,9,7,9
11,8,9,12,8
15,11,8,7,11
13,8,8,6,12
15,11,12,10,9
11,10,10,11,9
9,9,8,11,9
10,8,14,13,10
8,15,7,12,7
13,15,13,12,10
13,6,7,9,15
7,14,6,9,12
8,14,10,10,10
7,7,9,8,10
8,11,6,15,11
6,11,9,6,10
6,8,9,9,7
12,11,12,10,6
13,15,15,7,14
8,7,6,11,8
12,6,13,12,11
10,12,6,11,14
12,14,13,8,9
10,13,12,10,12
12,6,7,7,7
7,11,11,12,12
7,9,14,13,14
10,14,11,13,9
8,6,7,11,9
7,13,7,12,12
9,12,14,9,15
13,14,7,12,7
12,11,7,11,9
11,8,12,13,13
8,7,7,9,12
11,11,10,12,12
8,6,15,9,6
11,8,13,10,6
14,13,14,13,8
12,9,10,6,10
14,14,12,12,10
6,13,13,13,6
11,14,13,11,9
13,7,14,8,10
13,12,10,10,11
8,12,10,6,8
15,8,10,7,8
9,14,6,15,10
11,12,12,13,13
6,8,11,9,8
7,7,7,10,12
9,13,8,15,10
9,15,14,9,6
15,7,10,8,9
7,6,14,13,8
12,14,8,12,15
10,15,10,7,10
11,10,8,11,13
15,7,6,7,13
13,6,15,11,12
9,13,12,11,12
12,8,15,15,6
13,9,11,12,9
13,13,7,11,11
6,14,15,15,8
11,14,13,6,10
12,13,13,14,15
10,15,11,15,8
14,13,7,13,6
7,10,13,11,10
13,8,10,6,15
10,10,10,8,15
10,8,6,9,6
15,13,7,15,13
7,12,9,14,12
14,6,12,9,8
9,6,6,11,14
10,15,11,15,7
6,15,9,15,11
14,10,6,15,9
15,13,13,10,14
9,14,9,8,15
15,8,15,12,10
9,8,6,6,6
13,15,7,12,11
8,10,8,9,12
11,14,9,6,15
14,10,15,13,10
14,11,9,14,13
11,7,11,13,14
12,9,7,14,14
10,7,11,7,6
13,11,12,14,14
11,10,14,15,13
14,12,9,6,13
11,10,11,12,6
